Datetime,mnq,div_cl,rot_score_short,below_4h_open,target,hour,dow,ml_prob,result,sinal
2026-03-11 09:00:00,24902.25,-4.806366286270219,94.1,1,0,9,2,0.5672446,LOSS,SHORT
2026-03-11 12:00:00,24945.5,-0.49335929984281535,94.1,1,0,12,2,0.59176785,LOSS,SHORT
2026-03-11 15:00:00,24934.75,-2.1341223005399783,94.1,1,0,15,2,0.5881209,LOSS,SHORT
2026-03-11 22:00:00,24850.0,-10.566064273971428,73.5,1,1,22,2,0.6114414,WIN,SHORT
2026-03-11 23:00:00,24788.0,-15.225083446526703,73.5,1,1,23,2,0.5672962,WIN,SHORT
2026-03-12 11:00:00,24858.25,-7.512946022491008,67.6,1,1,11,3,0.62637955,WIN,SHORT
2026-03-12 12:00:00,24834.25,-9.189379738843435,67.6,1,1,12,3,0.5980848,WIN,SHORT
2026-03-12 13:00:00,24657.5,-20.29649343451854,73.5,1,1,13,3,0.6869973,WIN,SHORT
2026-03-12 14:00:00,24619.75,-23.127404665703494,73.5,1,0,14,3,0.6290682,LOSS,SHORT
2026-03-12 19:00:00,24555.75,-24.643892869384374,64.7,1,0,19,3,0.52091765,LOSS,SHORT
2026-03-13 15:00:00,24409.0,-18.973374153033745,64.7,1,0,15,4,0.57825094,LOSS,SHORT
2026-03-13 16:00:00,24396.75,-20.5473694380384,64.7,1,0,16,4,0.56074375,LOSS,SHORT
2026-03-16 07:00:00,24513.75,-15.525766697215943,76.5,1,0,7,0,0.5145999,LOSS,SHORT
2026-03-17 05:00:00,24544.0,-10.087455498085681,61.8,1,0,5,1,0.5359241,LOSS,SHORT
2026-03-19 11:00:00,24548.25,-13.911389750879302,64.7,1,1,11,3,0.50583446,WIN,SHORT
2026-03-20 09:00:00,24431.5,-14.37588476895845,64.7,1,1,9,4,0.55349874,WIN,SHORT
2026-03-20 13:00:00,24284.75,-18.41737100322304,64.7,1,1,13,4,0.54867244,WIN,SHORT
2026-03-20 18:00:00,24094.5,-30.82561110548079,64.7,1,1,18,4,0.5602475,WIN,SHORT
2026-03-23 06:00:00,23855.0,-32.96632288494903,64.7,1,0,6,0,0.5137475,LOSS,SHORT
2026-03-25 15:00:00,24378.75,-1.1725414154472205,61.8,1,0,15,2,0.66386795,LOSS,SHORT
2026-03-25 18:00:00,24355.25,-5.574440913085631,67.6,1,1,18,2,0.6097562,WIN,SHORT
2026-03-26 05:00:00,24255.25,-13.876947417072046,64.7,1,1,5,3,0.6424427,WIN,SHORT
2026-03-26 08:00:00,24193.0,-21.453520960049765,64.7,1,1,8,3,0.5688611,WIN,SHORT
2026-03-27 07:00:00,23871.75,-21.591508135814657,64.7,1,1,7,4,0.5242013,WIN,SHORT
2026-03-27 08:00:00,23779.75,-28.802651385123326,73.5,1,1,8,4,0.51279885,WIN,SHORT
2026-03-27 09:00:00,23739.25,-30.233840091860174,73.5,1,1,9,4,0.5029136,WIN,SHORT
2026-03-29 23:00:00,23128.0,-57.79872027272066,64.7,1,0,23,6,0.63307065,LOSS,SHORT
2026-03-30 13:00:00,23302.5,-28.00328830188677,64.7,1,1,13,0,0.5515975,WIN,SHORT
2026-03-31 09:00:00,23305.25,-13.67137929177548,67.6,1,0,9,1,0.5952842,LOSS,SHORT
2026-04-02 16:00:00,24120.5,-6.894199387840679,64.7,1,0,16,3,0.637759,LOSS,SHORT
2026-04-07 10:00:00,24205.0,-8.239429555264643,85.3,1,1,10,1,0.5076386,WIN,SHORT
2026-04-07 11:00:00,24210.5,-11.673084196132386,67.6,1,1,11,1,0.56675804,WIN,SHORT
2026-04-07 14:00:00,24009.25,-21.55757308160495,73.5,1,0,14,1,0.5416874,LOSS,SHORT
2026-04-12 22:00:00,24956.75,-25.417198545309084,82.4,1,0,22,6,0.52599764,LOSS,SHORT
2026-04-12 23:00:00,24984.0,-23.993517741358318,64.7,1,0,23,6,0.5223802,LOSS,SHORT
2026-04-21 14:00:00,26737.25,-8.270192507893398,85.3,1,0,14,1,0.5080929,LOSS,SHORT
2026-04-21 15:00:00,26731.5,-12.27557629797439,76.5,1,1,15,1,0.51156116,WIN,SHORT
2026-04-28 11:00:00,27095.0,-40.589435090571456,73.5,1,1,11,1,0.5508734,WIN,SHORT
2026-04-30 02:00:00,27427.5,-17.70091798919752,61.8,1,1,2,3,0.51608336,WIN,SHORT
2026-04-30 03:00:00,27414.5,-19.84486316681309,76.5,1,1,3,3,0.5375607,WIN,SHORT
2026-04-30 04:00:00,27233.5,-29.048055570105284,76.5,1,0,4,3,0.55101174,LOSS,SHORT
2026-04-30 13:00:00,27247.25,-5.358876237301729,94.1,1,0,13,3,0.50097686,LOSS,SHORT
2026-05-15 09:00:00,29223.5,-8.759350895573185,64.7,1,1,9,4,0.57668644,WIN,SHORT
2026-05-15 12:00:00,29190.75,-5.344133132601868,64.7,1,0,12,4,0.53386724,LOSS,SHORT
2026-05-18 10:00:00,29119.75,-10.41649521909057,64.7,1,1,10,0,0.51177245,WIN,SHORT
2026-05-18 15:00:00,28996.0,-13.354971869768363,64.7,1,0,15,0,0.5568902,LOSS,SHORT
2026-05-21 10:00:00,29246.75,-0.37523242350894037,94.1,1,0,10,3,0.6493029,LOSS,SHORT
2026-05-21 12:00:00,29193.5,-2.930643417297979,64.7,1,0,12,3,0.6370563,LOSS,SHORT
2026-05-21 14:00:00,29234.75,-2.0779120354181373,64.7,1,0,14,3,0.6084181,LOSS,SHORT
