Datetime,mnq,div_cl,rot_score,above_4h_open,target,hour,dow,ml_prob,result
2026-03-04 11:00:00,24806.0,1.3688269977544891,61.8,1,1,11,2,0.54734,WIN
2026-03-04 13:00:00,24889.5,9.639162183835083,82.4,1,1,13,2,0.5016104,WIN
2026-03-04 15:00:00,25127.25,16.18955660228977,67.6,1,1,15,2,0.5503456,WIN
2026-03-09 15:00:00,24641.5,2.996056208302427,85.3,1,1,15,0,0.54333997,WIN
2026-03-09 16:00:00,24709.0,6.270389786348915,73.5,1,1,16,0,0.5684082,WIN
2026-03-10 01:00:00,24987.75,21.479724627746165,73.5,1,0,1,1,0.503059,LOSS
2026-03-11 10:00:00,25017.25,6.278331572183326,70.6,1,1,10,2,0.5751238,WIN
2026-03-11 13:00:00,25101.5,10.654326009271884,91.2,1,0,13,2,0.5883783,LOSS
2026-03-16 10:00:00,24604.25,1.5150751416566877,85.3,1,1,10,0,0.5265902,WIN
2026-03-16 11:00:00,24625.75,2.187140852140111,67.6,1,1,11,0,0.5325103,WIN
2026-03-16 12:00:00,24658.25,8.488448718821118,67.6,1,0,12,0,0.5487205,LOSS
2026-03-17 09:00:00,24844.0,13.801248229879576,64.7,1,1,9,1,0.5191347,WIN
2026-03-17 10:00:00,24833.5,12.159589079156774,64.7,1,1,10,1,0.52840555,WIN
2026-03-17 12:00:00,24932.5,18.432107846018987,64.7,1,1,12,1,0.5516919,WIN
2026-03-17 13:00:00,25093.0,24.013369264948125,64.7,1,0,13,1,0.54974514,LOSS
2026-03-17 14:00:00,25076.5,25.50703676577823,64.7,1,0,14,1,0.53309155,LOSS
2026-03-19 19:00:00,24574.5,1.0219674858921266,82.4,1,0,19,3,0.5406189,LOSS
2026-03-23 11:00:00,24392.5,17.737476774818326,91.2,1,0,11,0,0.53439486,LOSS
2026-03-23 12:00:00,24609.0,28.675944981126307,73.5,1,0,12,0,0.52106446,LOSS
2026-03-23 13:00:00,24600.0,28.740584546677624,73.5,1,0,13,0,0.5311309,LOSS
2026-03-23 17:00:00,24467.75,22.031864053073143,73.5,1,0,17,0,0.52820605,LOSS
2026-03-24 07:00:00,24467.25,15.967349682132607,73.5,1,0,7,1,0.5235387,LOSS
2026-03-24 20:00:00,24403.5,14.87663514112181,94.1,1,0,20,1,0.5461434,LOSS
2026-03-24 22:00:00,24426.5,14.243495381223369,76.5,1,0,22,1,0.5216121,LOSS
2026-03-25 16:00:00,24421.5,1.2566715778080777,79.4,1,0,16,2,0.5036191,LOSS
2026-03-31 13:00:00,23577.5,6.358738910928864,85.3,1,1,13,1,0.58778197,WIN
2026-03-31 16:00:00,23774.75,13.275453400894413,100.0,1,1,16,1,0.5599899,WIN
2026-03-31 17:00:00,23761.75,10.976661151411562,82.4,1,1,17,1,0.55514723,WIN
2026-04-07 09:00:00,24385.75,6.874083720796648,82.4,1,0,9,1,0.5413002,LOSS
2026-04-07 19:00:00,24369.5,7.775498180972477,100.0,1,1,19,1,0.5489491,WIN
2026-04-07 20:00:00,24397.75,12.905534780018925,82.4,1,1,20,1,0.53181463,WIN
2026-04-09 13:00:00,25032.75,2.775663116611966,67.6,1,1,13,3,0.51291907,WIN
2026-04-09 16:00:00,25196.75,19.48556285568649,82.4,1,1,16,3,0.5227708,WIN
2026-04-09 17:00:00,25226.5,23.16446264033636,67.6,1,0,17,3,0.55754584,LOSS
2026-04-10 10:00:00,25271.5,14.223101052546816,64.7,1,1,10,4,0.5295979,WIN
2026-04-13 13:00:00,25307.25,8.395759738969396,100.0,1,1,13,0,0.56221974,WIN
2026-04-13 14:00:00,25352.0,9.435112066025134,82.4,1,1,14,0,0.54728925,WIN
2026-04-13 16:00:00,25410.5,18.00988155388108,67.6,1,1,16,0,0.5515206,WIN
2026-04-13 17:00:00,25404.0,18.34741248017447,73.5,1,1,17,0,0.5532295,WIN
2026-04-17 09:00:00,26536.75,31.399267876494264,73.5,1,1,9,4,0.500899,WIN
2026-04-20 13:00:00,26781.0,17.107720388297665,64.7,1,0,13,0,0.5655465,LOSS
2026-04-22 06:00:00,26837.0,5.166465961519201,82.4,1,0,6,2,0.5057688,LOSS
2026-04-22 14:00:00,26971.5,2.8352951578783063,85.3,1,1,14,2,0.5085681,WIN
2026-04-22 17:00:00,27029.75,6.444254667951924,100.0,1,1,17,2,0.5251743,WIN
2026-04-23 11:00:00,27032.0,3.4974268907122905,91.2,1,1,11,3,0.5529141,WIN
2026-04-24 10:00:00,27172.5,1.1854014373300572,91.2,1,1,10,4,0.568927,WIN
2026-04-24 11:00:00,27275.75,17.399096880982498,73.5,1,1,11,4,0.5345295,WIN
2026-04-24 15:00:00,27396.0,22.952025786835037,73.5,1,1,15,4,0.50630414,WIN
2026-04-24 16:00:00,27409.75,22.472384729807814,61.8,1,1,16,4,0.50402254,WIN
2026-04-30 11:00:00,27439.5,6.617517626030661,91.2,1,0,11,3,0.5786952,LOSS
2026-05-04 13:00:00,27895.0,14.42825605067069,73.5,1,0,13,0,0.5231143,LOSS
