feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
r_mnq_4h,continua,Q4[0.257-11.260],2960,0.23851351351351352,0.6817567567567567,-0.007642931831984029,0.008332191796459387
di_spread_cl,continua,Q1[-52.151--10.025],2960,0.23851351351351352,0.6628378378378378,-0.007642931831984029,-0.01058672712245956
r_cl_1h,continua,Q3[0.013-0.221],2959,0.23825616762419735,0.6559648529908753,-0.007900277721300197,-0.017459711969422087
open_4h_dist_mnq,continua,Q1[-4.045--0.047],2960,0.23817567567567569,0.6489864864864865,-0.007980769669821863,-0.024438078473810854
rsi_es,continua,Q1[14.382-45.216],2960,0.23817567567567569,0.6510135135135136,-0.007980769669821863,-0.022411051446783792
dist_sma50_es,continua,Q1[-11.187--0.310],2960,0.2375,0.6493243243243243,-0.00865644534549756,-0.024100240635973047
open_4h_dist_cl,continua,Q2[-0.105-0.000],920,0.23695652173913043,0.6597826086956522,-0.009199923606367122,-0.01364195626464515
bb_w_cl,continua,Q2[0.855-1.260],2959,0.2369043595809395,0.6505576208178439,-0.009252085764558049,-0.022866944142453494
open_4h_dist_btc,continua,Q1[-6.448--0.152],2960,0.23682432432432432,0.6662162162162162,-0.009332121021173229,-0.007208348744081161
rsi_es,continua,Q2[45.216-52.892],2959,0.23622845555931057,0.6539371409259885,-0.009927989786186975,-0.01948742403430881
r_mnq_8h,continua,Q1[-12.438--0.298],2960,0.23614864864864865,0.6364864864864865,-0.010007796696848897,-0.03693807847381081
rsi_mnq,continua,Q1[11.162-45.210],2960,0.23614864864864865,0.6408783783783784,-0.010007796696848897,-0.03254618658191899
adx_btc,continua,Q2[17.890-23.535],2959,0.2358905035484961,0.6620479891855356,-0.010265941797001438,-0.011376575774761699
r_mnq_1h,continua,Q4[0.110-7.702],2960,0.23581081081081082,0.6611486486486486,-0.010345634534686732,-0.012275916311648705
vol_es,continua,Q1[0.031-0.102],2960,0.23581081081081082,0.672972972972973,-0.010345634534686732,-0.00045159198732436234
open_w_dist_mnq,continua,Q1[-14.554--0.641],2960,0.23547297297297298,0.6442567567567568,-0.010683472372524566,-0.02916780820354059
div_es,continua,Q3[0.047-2.324],2959,0.2342007434944238,0.6637377492396079,-0.011955701851073752,-0.009686815720689412
dist_ema20_mnq,continua,Q1[-8.848--0.210],2960,0.23412162162162162,0.6391891891891892,-0.012034823723875931,-0.034235375771108134
adx_cl,continua,Q1[6.594-17.732],2960,0.23412162162162162,0.6533783783783784,-0.012034823723875931,-0.020046186581918923
rsi_btc,continua,Q1[15.743-43.572],2960,0.23412162162162162,0.6472972972972973,-0.012034823723875931,-0.026127267662999998
open_w_dist_cl,continua,Q1[-18.659--1.501],2960,0.23412162162162162,0.6601351351351351,-0.012034823723875931,-0.013289429825162236
open_d_dist_cl,continua,Q3[0.000-0.528],3761,0.23398032438181335,0.6498271736240362,-0.0121761209636842,-0.023597391336261153
dist_open_d_cl,continua,Q3[0.000-0.528],3761,0.23398032438181335,0.6498271736240362,-0.0121761209636842,-0.023597391336261153
rsi_cl,continua,Q1[15.378-43.119],2960,0.23378378378378378,0.6594594594594595,-0.012372661561713766,-0.013965105500837849
dist_open_d_btc,continua,Q1[-14.326--0.641],2960,0.23344594594594595,0.6577702702702702,-0.0127104993995516,-0.015654294690027104
open_d_dist_btc,continua,Q1[-14.326--0.641],2960,0.23344594594594595,0.6577702702702702,-0.0127104993995516,-0.015654294690027104
dist_ema20_cl,continua,Q3[0.029-0.587],2959,0.2331868874619804,0.6546130449476174,-0.012969557883517141,-0.01881152001267994
open_w_dist_btc,continua,Q1[-25.414--2.002],2960,0.23310810810810811,0.6456081081081081,-0.013048337237389435,-0.027816456852189253
div_cl,continua,Q3[2.244-12.257],2959,0.23217303142953702,0.6596823251098344,-0.01398341391596053,-0.013742239850462967
