asset,entry_time,exit_time,direction,result,ret_r,pnl_pct,entry_price,stop_price,target_price,atr,conf
btc,2024-08-02 18:00:00,2024-08-03 00:00:00,SHORT,WIN,3.0,3.0,62853.43,63781.34,60997.6,618.61,0.502
btc,2024-08-03 11:00:00,2024-08-03 16:00:00,SHORT,WIN,3.0,3.0,61861.45,62479.75,60624.85,412.2,0.551
btc,2024-08-04 08:00:00,2024-08-04 15:00:00,SHORT,WIN,3.0,3.0,60531.61,61118.51,59357.8,391.27,0.617
btc,2024-08-04 15:00:00,2024-08-04 17:00:00,SHORT,WIN,3.0,3.0,58968.98,59560.43,57786.09,394.3,0.639
btc,2024-08-04 17:00:00,2024-08-04 18:00:00,SHORT,LOSS,-1.5,-1.5,57864.58,58613.3,56367.13,499.15,0.538
btc,2024-08-04 18:00:00,2024-08-05 00:00:00,SHORT,WIN,3.0,3.0,58711.36,59546.25,57041.58,556.59,0.522
btc,2024-08-07 10:00:00,2024-08-07 14:00:00,SHORT,WIN,3.0,3.0,57387.61,58185.55,55791.75,531.96,0.501
btc,2024-08-07 14:00:00,2024-08-08 02:00:00,SHORT,LOSS,-1.5,-1.5,56204.99,57034.34,54546.29,552.9,0.564
btc,2024-08-09 08:00:00,2024-08-10 08:00:00,SHORT,EXPIRED,0.55,0.55,61078.25,62023.93,59186.9,630.45,0.68
btc,2024-08-11 08:00:00,2024-08-11 09:00:00,SHORT,LOSS,-1.5,-1.5,61297.02,61599.15,60692.78,201.41,0.52
btc,2024-08-11 09:00:00,2024-08-11 12:00:00,SHORT,WIN,3.0,3.0,61111.24,61452.7,60428.32,227.64,0.531
btc,2024-08-11 12:00:00,2024-08-11 19:00:00,SHORT,WIN,3.0,3.0,60520.04,60927.7,59704.73,271.77,0.52
btc,2024-08-12 12:00:00,2024-08-12 14:00:00,SHORT,LOSS,-1.5,-1.5,59698.06,60477.06,58140.06,519.33,0.524
btc,2024-08-12 14:00:00,2024-08-13 14:00:00,SHORT,EXPIRED,0.86,0.858,60309.45,61445.6,58037.16,757.43,0.642
btc,2024-08-13 16:00:00,2024-08-14 13:00:00,SHORT,WIN,3.0,3.0,61170.16,61892.74,59724.98,481.72,0.548
btc,2024-08-14 13:00:00,2024-08-15 02:00:00,SHORT,WIN,3.0,3.0,59529.6,60177.68,58233.44,432.05,0.523
btc,2024-08-15 11:00:00,2024-08-15 12:00:00,SHORT,LOSS,-1.5,-1.5,58734.46,59258.01,57687.36,349.03,0.532
btc,2024-08-15 13:00:00,2024-08-15 18:00:00,SHORT,WIN,3.0,3.0,59410.96,60012.58,58207.72,401.08,0.568
btc,2024-08-18 09:00:00,2024-08-18 23:00:00,SHORT,WIN,3.0,3.0,59901.96,60284.47,59136.93,255.01,0.531
btc,2024-08-20 08:00:00,2024-08-20 14:00:00,SHORT,WIN,3.0,3.0,60765.7,61277.25,59742.59,341.03,0.644
btc,2024-08-21 18:00:00,2024-08-21 19:00:00,SHORT,LOSS,-1.5,-1.5,60763.26,61378.68,59532.41,410.28,0.567
btc,2024-08-21 19:00:00,2024-08-22 02:00:00,SHORT,WIN,3.0,3.0,61563.75,62257.34,60176.58,462.39,0.622
btc,2024-08-26 08:00:00,2024-08-26 21:00:00,SHORT,WIN,3.0,3.0,63760.92,64152.39,62977.98,260.98,0.538
btc,2024-08-27 08:00:00,2024-08-27 14:00:00,SHORT,WIN,3.0,3.0,62814.64,63284.41,61875.11,313.18,0.555
btc,2024-08-29 12:00:00,2024-08-29 14:00:00,SHORT,LOSS,-1.5,-1.5,60331.47,60764.0,59466.42,288.35,0.529
btc,2024-08-29 14:00:00,2024-08-29 18:00:00,SHORT,WIN,3.0,3.0,60836.17,61312.95,59882.61,317.86,0.511
btc,2024-09-03 08:00:00,2024-09-03 12:00:00,SHORT,LOSS,-1.5,-1.5,58797.87,59238.09,57917.43,293.48,0.72
btc,2024-09-03 12:00:00,2024-09-03 13:00:00,SHORT,WIN,3.0,3.0,59139.79,59518.56,58382.26,252.51,0.681
btc,2024-09-03 13:00:00,2024-09-03 23:00:00,SHORT,WIN,3.0,3.0,58392.35,58854.44,57468.18,308.06,0.763
btc,2024-09-05 14:00:00,2024-09-06 07:00:00,SHORT,WIN,3.0,3.0,56690.25,57237.56,55595.62,364.87,0.507
btc,2024-09-06 09:00:00,2024-09-06 12:00:00,SHORT,LOSS,-1.5,-1.5,55885.64,56391.56,54873.79,337.28,0.514
btc,2024-09-06 12:00:00,2024-09-06 14:00:00,SHORT,WIN,3.0,3.0,56835.87,57435.1,55637.4,399.49,0.572
btc,2024-09-06 14:00:00,2024-09-06 20:00:00,SHORT,WIN,3.0,3.0,54642.7,55462.1,53003.91,546.26,0.568
btc,2024-09-10 18:00:00,2024-09-11 04:00:00,SHORT,WIN,3.0,3.0,57574.67,58165.42,56393.15,393.84,0.572
btc,2024-09-13 20:00:00,2024-09-13 22:00:00,SHORT,LOSS,-1.5,-1.5,59947.96,60585.29,58673.31,424.88,0.548
btc,2024-09-17 15:00:00,2024-09-17 19:00:00,SHORT,WIN,3.0,3.0,61137.27,61790.74,59830.35,435.64,0.504
btc,2024-09-19 17:00:00,2024-09-20 17:00:00,SHORT,EXPIRED,2.59,2.588,63768.57,64390.66,62524.39,414.73,0.52
btc,2024-09-22 08:00:00,2024-09-22 20:00:00,SHORT,LOSS,-1.5,-1.5,63030.98,63302.48,62487.97,181.0,0.513
btc,2024-09-23 15:00:00,2024-09-24 15:00:00,SHORT,EXPIRED,1.34,1.34,63651.41,64166.55,62621.12,343.43,0.566
btc,2024-10-01 08:00:00,2024-10-01 13:00:00,SHORT,WIN,3.0,3.0,63931.86,64369.77,63056.04,291.94,0.545
btc,2024-10-01 13:00:00,2024-10-01 15:00:00,SHORT,WIN,3.0,3.0,62926.06,63385.46,62007.26,306.27,0.523
